n=2, i=(0.998, 0.0020000000000000018), a=0.01, err=5.8943952065909375
n=2, i=(0.998, 0.0020000000000000018), a=0.02, err=5.7870428161278245
n=2, i=(0.998, 0.0020000000000000018), a=0.03, err=5.774559980027462
n=2, i=(0.998, 0.0020000000000000018), a=0.04, err=5.724628635626014
n=2, i=(0.998, 0.0020000000000000018), a=0.05, err=5.674697291224566
n=2, i=(0.998, 0.0020000000000000018), a=0.06, err=5.370116090375733
n=2, i=(0.998, 0.0020000000000000018), a=0.07, err=5.355136687055299
n=2, i=(0.998, 0.0020000000000000018), a=0.08, err=5.327674447634503
n=2, i=(0.998, 0.0020000000000000018), a=0.09, err=5.327674447634503
n=2, i=(0.998, 0.0020000000000000018), a=0.1, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.11, err=5.367619523155661
n=2, i=(0.998, 0.0020000000000000018), a=0.12, err=5.365122955935588
n=2, i=(0.998, 0.0020000000000000018), a=0.13, err=5.362626388715516
n=2, i=(0.998, 0.0020000000000000018), a=0.14, err=5.390088628136312
n=2, i=(0.998, 0.0020000000000000018), a=0.15, err=5.352640119835226
n=2, i=(0.998, 0.0020000000000000018), a=0.16, err=5.377605792035951
n=2, i=(0.998, 0.0020000000000000018), a=0.17, err=5.390088628136312
n=2, i=(0.998, 0.0020000000000000018), a=0.18, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.19, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.2, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.21, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.22, err=5.355136687055299
n=2, i=(0.998, 0.0020000000000000018), a=0.23, err=5.375109224815878
n=2, i=(0.998, 0.0020000000000000018), a=0.24, err=5.3726126575958055
n=2, i=(0.998, 0.0020000000000000018), a=0.25, err=5.3726126575958055
n=2, i=(0.998, 0.0020000000000000018), a=0.26, err=5.380102359256023
n=2, i=(0.998, 0.0020000000000000018), a=0.27, err=5.380102359256023
n=2, i=(0.998, 0.0020000000000000018), a=0.28, err=5.380102359256023
n=2, i=(0.998, 0.0020000000000000018), a=0.29, err=5.395081762576457
n=2, i=(0.998, 0.0020000000000000018), a=0.3, err=5.390088628136312
n=2, i=(0.998, 0.0020000000000000018), a=0.31, err=5.38759206091624
n=2, i=(0.998, 0.0020000000000000018), a=0.32, err=5.385095493696167
n=2, i=(0.998, 0.0020000000000000018), a=0.33, err=5.382598926476096
n=2, i=(0.998, 0.0020000000000000018), a=0.34, err=5.382598926476096
n=2, i=(0.998, 0.0020000000000000018), a=0.35000000000000003, err=5.392585195356385
n=2, i=(0.998, 0.0020000000000000018), a=0.36, err=5.400074897016602
n=2, i=(0.998, 0.0020000000000000018), a=0.37, err=5.402571464236675
n=2, i=(0.998, 0.0020000000000000018), a=0.38, err=5.39757832979653
n=2, i=(0.998, 0.0020000000000000018), a=0.39, err=5.405068031456747
n=2, i=(0.998, 0.0020000000000000018), a=0.4, err=5.402571464236675
n=2, i=(0.998, 0.0020000000000000018), a=0.41000000000000003, err=5.402571464236675
n=2, i=(0.998, 0.0020000000000000018), a=0.42, err=5.407564598676819
n=2, i=(0.998, 0.0020000000000000018), a=0.43, err=5.4100611658968925
n=2, i=(0.998, 0.0020000000000000018), a=0.44, err=5.4100611658968925
n=2, i=(0.998, 0.0020000000000000018), a=0.45, err=5.407564598676819
n=2, i=(0.998, 0.0020000000000000018), a=0.46, err=5.4100611658968925
n=2, i=(0.998, 0.0020000000000000018), a=0.47000000000000003, err=5.400074897016602
n=2, i=(0.998, 0.0020000000000000018), a=0.48, err=5.400074897016602
n=2, i=(0.998, 0.0020000000000000018), a=0.49, err=5.370116090375733
n=2, i=(0.998, 0.0020000000000000018), a=0.5, err=5.337660716514792
n=2, i=(0.998, 0.0020000000000000018), a=0.51, err=5.3351641492947195
n=2, i=(0.998, 0.0020000000000000018), a=0.52, err=5.357633254275371
n=2, i=(0.998, 0.0020000000000000018), a=0.53, err=5.357633254275371
n=2, i=(0.998, 0.0020000000000000018), a=0.54, err=5.357633254275371
n=2, i=(0.998, 0.0020000000000000018), a=0.55, err=5.360129821495444
n=2, i=(0.998, 0.0020000000000000018), a=0.56, err=5.355136687055299
